name;widthPx;heightPx;orientation;takenDate;latitude;longitude;cameraMake;cameraModel;lensMake;lensModel;iso;exposureTime;fNumber;focalLength;rating;keywords
photo_41.jpg;4928;3264;STANDARD;1503579240000;null;null;PENTAX             ;PENTAX K-50        ;null;null;1600;0.0025;3.5;18.0;1;[outdoors]
photo_42.jpg;3870;3131;null;1570103057900;null;null;Canon;Canon EOS 7D Mark II;null;EF100-400mm f/4.5-5.6L IS II USM;640;0.00125;5.6;400.0;4;[animal, grass, plant, finch, lawn, bird, reed]
photo_43.jpg;4032;3024;null;1553273402935;34.463058333333336;-119.75821666666667;Apple;iPhone XS;Apple;iPhone XS back dual camera 6mm f/2.4;50;0.00819672131147541;2.4;6.0;4;[nature, field, grassland, outdoors]
photo_44.jpg;6000;4000;STANDARD;1539078920860;null;null;Canon;Canon EOS 77D;null;EF100-400mm f/4.5-5.6L IS USM;400;0.002;8.0;400.0;2;[animal, bald eagle, eagle, bird]
photo_45.jpg;3594;2446;STANDARD;1500308474000;null;null;SONY;ILCE-7S;null;FE 24-240mm F3.5-6.3 OSS;800;0.0015625;6.3;240.0;2;[]
photo_46.jpg;4390;2927;null;1540041598620;null;null;Canon;Canon EOS 6D;null;100mm;125;0.005;2.0;100.0;0;[canine, wildlife, red fox, pet, animal, mammal, dog, fox]
photo_47.jpg;3038;3038;null;1531503487000;null;null;OLYMPUS IMAGING CORP.;E-M5MarkII;null;OLYMPUS M.40-150mm F2.8;500;0.003125;2.8;150.0;2;[bird, animal, outdoors, duck]
photo_48.jpg;4032;3024;ROTATE_RIGHT;1669813020203;null;null;Apple;iPhone SE (3rd generation);Apple;iPhone SE (3rd generation) back camera 3.99mm f/1.8;50;0.01;1.8;3.99;null;[]
photo_49.jpg;5184;3456;STANDARD;1638761253820;null;null;Canon;Canon EOS 60D;null;EF-S15-85mm f/3.5-5.6 IS USM;400;0.016666666666666666;5.0;24.0;0;[]
photo_50.jpg;6240;4160;STANDARD;1684514510000;null;null;FUJIFILM;X-T4;FUJIFILM;XC35mmF2;400;0.025;4.0;35.0;0;[]
